sweep,model,hardware,N,method,sweep_axis,sweep_value,n_seeds,F_mean,F_std,F_sem,E_inf_uJ_mean,E_inf_uJ_std
p_scnn,CNN,GPU,5,M1,p,0.0,3,0.0,0.0,0.0,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,0.1,3,0.6933,0.0055,0.0032,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,0.25,3,0.7223,0.0064,0.0037,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,0.4,3,0.8157,0.0079,0.0046,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,0.5,3,0.8576,0.009,0.0052,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,0.6,3,0.8895,0.0031,0.0018,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,0.75,3,0.9348,0.002,0.0012,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,0.9,3,0.9714,0.0021,0.0012,322.003,0.0
p_scnn,CNN,GPU,5,M1,p,1.0,3,0.9999,0.0,0.0,322.003,0.0
p_scnn,CNN,GPU,5,M2,p,0.0,3,0.6814,0.0191,0.011,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,0.1,3,0.6524,0.0115,0.0066,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,0.25,3,0.6769,0.0169,0.0097,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,0.4,3,0.7477,0.0102,0.0059,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,0.5,3,0.794,0.0035,0.002,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,0.6,3,0.8369,0.0044,0.0025,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,0.75,3,0.8826,0.0077,0.0044,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,0.9,3,0.9468,0.0007,0.0004,272.231,0.0
p_scnn,CNN,GPU,5,M2,p,1.0,3,0.9998,0.0,0.0,272.231,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.0,3,0.6334,0.0043,0.0025,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.1,3,0.6495,0.0026,0.0015,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.25,3,0.7087,0.0087,0.005,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.4,3,0.7723,0.0033,0.0019,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.5,3,0.8114,0.0037,0.0022,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.6,3,0.8505,0.0091,0.0052,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.75,3,0.8981,0.0103,0.006,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,0.9,3,0.9306,0.0073,0.0042,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M1,p,1.0,3,0.9971,0.0015,0.0009,0.2346,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M2,p,0.0,3,0.8068,0.0015,0.0008,0.2338,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M2,p,0.1,3,0.7915,0.0076,0.0044,0.2338,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M2,p,0.25,3,0.8155,0.0023,0.0013,0.2338,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M2,p,0.4,3,0.83,0.018,0.0104,0.2338,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M2,p,0.5,3,0.8622,0.0198,0.0114,0.2338,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M2,p,0.6,3,0.8727,0.0291,0.0168,0.2338,0.0
p_scnn,SCNN-Crossbar-4b,Crossbar-4b,5,M2,p,0.75,3,0.89,0.0199,0.0115,0.2338,0.0
